BioProject,Title,Description,ReleaseDate,DataType,CenterName,Relevance,GEO,SubmissionID
PRJNA1345406,Transcriptional response of maize roots inoculated with Bacillus cereus and Fusarium verticillioides,"Fusarium verticillioides (Fv) is responsible for stalk, ear, and root rot in maize, which diminishes grain yield and quality. In contrast, Bacillus cereus strain B25 (B25) suppresses Fv disease while enhancing plant growth. This study employed bulk RNA-seq analysis to understand the molecular mechanisms underlying a three-way interaction among maize roots, Fv, and B25. RNA-Seq data were obtained from seven-day-old maize roots inoculated individually with Fv or B25, co-inoculated with both Fv and B25, and uninoculated maize roots as a control group.",2025-10-14,raw sequence reads,"Instituto Politecnico Nacional, CIIDIR Sinaloa",yes,,SUB15645599
PRJNA1337123,Maize single cell ATAC-seq,"Single cell ATAC-seq of maize leaf using MusTer, an integrated platform for multi-parametric singlet droplet sorting and triple-droplet merging",2025-10-01,raw sequence reads,The Chinese University of Hong Kong,no,,SUB15663029
PRJNA1335774,Transcriptome of maize root under heat stress at seedling stage,"After growing at room temperature to the three-leaf stage, they were divided into three groups for sampling. The first group was sampled directly, the second group was treated with heat stress treatment, the second group was sampled immediately after treatment, and the third group was sampled after 48 h recovery at room temperature.",2025-09-28,raw sequence reads,Guangxi Academy of Agricultural Sciences,no,,SUB15673089
PRJNA1333950,Dynamic and cell-type specific transcriptional reprogramming underlies the floral transition in the maize shoot apical meristem,"The floral transition in maize represents a pivotal developmental switch that determines flowering time, environmental adaptation, and yield-related traits. However, the molecular mechanisms governing shoot apical meristem reprogramming and cell identity changes during this process remain poorly understood. By integrating time-course bulk RNA-seq, single-cell transcriptomics, chromatin accessibility, and transcription factor binding profiles, we construct a spatiotemporal molecular framework of the maize shoot apical meristem floral transition. Our analyses reveal global transcriptional reprogramming accompanied by pronounced cell type-specific regulation dynamics. At a global level, our transcriptional-level inference suggests that pathways associated with chromatin remodeling, environmental response, and reproductive development are sequentially activated, based mainly on transcriptional-level inference. We further identify a ZmMADS69-ZmRap2.7-ZMM4 regulatory module that fine-tunes the floral transition within the shoot apical meristem. At single-cell resolution, we find that the floral transition is not driven by a uniform transcriptional switch, but instead emerges from the coordinated action of spatially distinct shoot apical meristem domains. Through differential expression, trajectory, and co-expression module analyses, we further identify previously unrecognized roles for the inflorescence regulators UNBRANCHED2 and UNBRANCHED3 in promoting the floral transition, suggesting that they coordinate floral induction with subsequent inflorescence development. Our study establishes a comprehensive spatiotemporal regulatory framework for maize floral transition, providing mechanistic insights into shoot apical meristem reprogramming and offering a foundation for identifying new regulators to improve maize adaptation and yield. Overall design: We generated comprehensive time-course transcriptomic, single-cell transcriptomic, and chromatin accessibility atlases of maize SAMs during the floral transition, revealing a hierarchical and cell type–specific spatiotemporal division of labor in molecular signaling.",2025-09-24,Other,"fyang lab, Sun Yat-Sen University",yes,GSE309101,SUB16025930
PRJNA1333892,Cell-specific transcriptomics and silencing reveal aquaporin function in grass stomatal movements,"The high efficiency of grass stomata is believed to be due to their structure and anatomy, with two dumbbell-shaped guard cells surrounded by two subsidiary cells (SCs) and an efficient functional molecular interaction between these cells. Important channels expressed in these cells are aquaporins (AQPs), which contribute to the dynamic of stomatal movement. To further investigate genes expressed in maize GCs and SCs, RNA sequencing was performed on microdissected GCs and SCs during day and night. A general transcriptomic analysis first revealed that genes upregulated in SCs compared to GCs during the day were primarily involved in lipid transport, lipid localization, and lipid metabolism, whereas genes more highly expressed in GCs were associated with photosynthesis, chloroplasts, and plastids. Interestingly, the expression of several AQP genes varied both spatially and temporally. For example, the plasma membrane aquaporin ZmPIP1;5 and ZmPIP2;5 displayed a higher expression in GCs than in SCs during the day, whereas ZmPIP1;3 and ZmPIP2;1 exhibited an opposite pattern. To examine the specific roles of AQPs in these cells, a CRISPR-based tissue-specific knockout system was successfully used to silence ZmPIPs belonging to the PIP1 subfamily in either maize GCs or SCs. The targeted knockout of ZmPIP1s in these cells impaired stomatal movements in response to light, ABA, and CO₂ compared with wild-type plants. Overall, these findings reveal transcriptomic specificities between maize GCs and SCs, providing valuable insights into the regulation of rapid stomatal movements in grasses, and highlight the role of ZmPIP1s in these processes. Overall design: Maize B104 seeds were germinated and transferred to potting soil, as previously described. The plants were grown in a phytotron under a 16/8 h light/dark cycle (25/22 °C) and a daytime light intensity of 200 mmol. m−2. s−1 at the top of the leaves. Humidity was maintained between 60% and 70% in the growth chamber. Epidermal strips were peeled from the third leaf of two-week-old maize seedlings. They were placed on microscope glass slides (plain microscope slides 76x26mm, 0.8 mm x 1.00 mm, AGL4242) and flash-frozen with liquid nitrogen. The samples were immediately stored at -80 °C until microdissection. The samples were collected at two times, i.e., day (two hours after the light onset) and night (two hours after the light offset). Four independent collections were carried out. On the day before the microdissection, the peeled epidermal strips were freeze-dried at -40 °C for 10 h under pressure of 10 Pa in a Labconco® Free-Zone Plus freeze-drier. At the end of the process, the temperature slightly increased to room temperature for 3 h. A few drops of absolute ethanol were placed on the strips to flatten them. The samples were stored in a desiccator under vacuum at room temperature until microdissection, to avoid rehydration. Guard cells (GC) and subsidiary cells (SC) were collected using a PALM MicroBeam system (Carl Zeiss MicroImaging GmbH). GCs or SCs were selected using Zeiss software and cut using a laser. After cutting, cells were pressure catapulted and collected immediately in a tube with an adhesive cap (Carl Zeiss™ 415190-9211-000). Approximately 1500 cells were collected in one tube, and two tubes were used to collect cells for each sample.",2025-09-24,Transcriptome or Gene expression,"ERIN department, Luxembourg Institute of Science and Technology",yes,GSE309067,SUB16021187
PRJNA1332382,Drought transcriptome analysis of maize ZmNF-YC2,Transcriptome analysis of the leaves of wild-type (WT) and zmnf-yc2 mutant seedlings under normal and drought conditions,2025-09-22,raw sequence reads,Henan Academy of agricultural sciences,no,,SUB15648813
PRJNA1321191,Zea mays Raw sequence reads,"To elucidate the signaling pathways controlled by ZmRRS1 in maize resistance to the necrotrophic fungus Rhizoctonia solani, we generated Illumina RNA-seq datasets from leaf sheaths of the inbred ND101 and ZmRRS1-over expressing plants under two conditions: mock-inoculated and R. solani-inoculated for 24 h. Differential expression analyses between OE and WT across conditions identify a ZmRRS1-regulated gene set enriched for defense-related processes, including response to stress, hydrogen peroxide metabolism, cellular detoxification, oxidoreductase activity, and thiamine/oxazole-thiazole metabolic pathways. The results highlight redox reprogramming and reactive oxygen species homeostasis as central features of ZmRRS1-mediated defense. These datasets provide a community resource for studying maize-R. solani interactions and for breeding banded leaf and sheath blight-resistant maize.",2025-09-08,raw sequence reads,China Agricultural University,yes,,SUB15609387
PRJNA1320678,RNA-seq data of zmlht1 mutant and WT seeding leaves in response to southern leaf blight,"To determine the effects of ZmLHT1 inactivation on SLB resistance, we used CRISPR/Cas9-mediated gene editing to generate ZmLHT1 CRISPR/Cas9 knockout lines in the B73 background, Maize seedlings were grown in a greenhouse at 26 deg C with 16 h light and 8 h dark to 4,5 leaf stage. The fourth leaves of zmlht1 mutant and WT plants were inoculated with a suspension of Cochliobolus heterostrophus spores. Control plants were sprayed with sterile distilled water. After inoculation, the plants were kept at 80% humidity for 2 h.Total RNA was extracted using Plant RNA Kit (Omega Biotek, USA) according to the manufacturer protocol. First-strand cDNA was synthesized using the FastKing RT Kit (Tiangen, China) according to the manufacturer protocol.",2025-09-05,raw sequence reads,Northwest A&F University,no,,SUB15598925
PRJNA1313817,Transcriptome profiling of the feeding site in maize (Zea mays) infested by two aphid species,"This dataset presents the transcriptomic profile of maize (Zea mays, cultivar B73) leaf tissue at the four-leaf stage in response to feeding by two aphid species. The plants were infested with either the corn leaf aphid (Rhopalosiphum maidis) or the bird cherry-oat aphid (Rhopalosiphum padi) for 48 hours. After the infestation, the affected leaf tissue was harvested for total RNA extraction and subsequent RNA-Seq analysis.",2025-09-02,raw sequence reads,Huazhong Agricultural University,yes,,SUB15582601
PRJNA1313196,The transcription factor ZmbZIP39 coordinately regulates both plant architecture and grain filling in maize,"Efficient sucrose partitioning is a promising characteristic to improve crop yield, involving sucrose transport, sucrose metabolism, and sucrose utilization. However, it is still elusive how these processes are coordinately regulated to sustain a large amount of sucrose demands during grain filling. In this work, the classical sucrose transporter ZmSUT1 was used as an example to identify the potential upstream regulators, in which ZmSUT1 is crucial for plant architecture, efficient sucrose allocation, and yield improvement. The ubiquitously expressed transcription factor ZmbZIP39 was found to specifically and directly bound to the ZmSUT1 promoter and performed positive regulation. Mutation of ZmbZIP39 displayed dwarf plants with declined photosynthetic efficiency, advanced leaf senescence and sugar hyperaccumulation in leaves, leading to decreased kernel weight and nutrient storage, whereas the ZmbZIP39 overexpression lines performed the opposite roles. Global RNA-seq analysis revealed that ZmbZIP39 apparently influenced the biological processes, encompassing photosynthesis, phytohormone levels, cell cycle process, seed development, starch metabolic process, etc. Combination analysis of ChIP-seq and RNA-seq analysis identified 303 high-confidence targes regulated by ZmbZIP39. Notably, ZmbZIP39 directly regulated three sucrose synthase-encoding genes to increase sucrose synthase activity. ZmbZIP39 bound to the promoters of three zein-encoding genes and the endosperm-filling central regulator Opaque2 to promote nutrient storage accumulation. ZmbZIP39 also interacts with several key endosperm-filling regulators to synergistically promote endosperm-filling initiation and grain filling, encompassing OHPs, ZmNAC128, ZmNAC130, ZmABI19, and ZmbZIP29. Overall, this work demonstrates that three important traits-sucrose transport, sucrose metabolism, and sucrose utilization- are precisely regulated and associated by ZmbZIP39 to elaborately modulate plant architecture, efficiently enhance yield and nutrient reserve synthesis.",2025-08-31,raw sequence reads,Sichuan Agricultural University,yes,,SUB15580687
PRJNA1310065,The transcription factor ZmbZIP39 coordinately regulates both plant architecture and grain filling in maize,"Efficient sucrose partitioning is a promising characteristic to improve crop yield, involving sucrose transport, sucrose metabolism, and sucrose utilization. However, it is still elusive how these processes are coordinately regulated to sustain a large amount of sucrose demands during grain filling. In this work, the classical sucrose transporter ZmSUT1 was used as an example to identify the potential upstream regulators, in which ZmSUT1 is crucial for plant architecture, efficient sucrose allocation, and yield improvement. The ubiquitously expressed transcription factor ZmbZIP39 was found to specifically and directly bound to the ZmSUT1 promoter and performed positive regulation. Mutation of ZmbZIP39 displayed dwarf plants with declined photosynthetic efficiency, advanced leaf senescence and sugar hyperaccumulation in leaves, leading to decreased kernel weight and nutrient storage, whereas the ZmbZIP39 overexpression lines performed the opposite roles. Global RNA-seq analysis revealed that ZmbZIP39 apparently influenced the biological processes, encompassing photosynthesis, phytohormone levels, cell cycle process, seed development, starch metabolic process, etc. Combination analysis of CUT&amp;Tag and RNA-seq analysis further 500 high-confidence targes regulated by ZmbZIP39. Notably, ZmbZIP39 directly regulated three sucrose synthase-encoding genes to increase sucrose synthase activity. ZmbZIP39 directly bound to the promoters of the zein-encoding genes and the endosperm-filling central regulator Opaque2 to promote nutrient storage accumulation. ZmbZIP39 also interacts with the key endosperm-filling regulators to synergistically promote endosperm-filling initiation and grain filling, encompassing OHPs, ZmNAC128, ZmNAC130, ZmABI19, and ZmbZIP29. Overall, this work demonstrates that three important traits-sucrose transport, sucrose metabolism, and sucrose utilization- are precisely regulated and associated by ZmbZIP39 to precisely modulate plant architecture, efficiently enhance yield and nutrient reserve synthesis.",2025-08-24,raw sequence reads,Sichuan Agricultural University,yes,,SUB15554218
PRJNA1309682,Fine Mapping and Functional Characterization of qKRN5.04b Reveals ZmGrx5 as a Domestication-Selected Regulator of Kernel Row Number in Maize,"Kernel row number (KRN) is not only a key agronomic trait influencing maize yield but also a phenotype that underwent significant changes during maize domestication from its wild ancestor, teosinte. Previous studies have identified multiple quantitative trait loci (QTLs) associated with ear morphology on chromosome 5, among which the molecular basis and domestication role of qKRN5.04b remain unclear. To elucidate the function of qKRN5.04b, we constructed a segregating population through hybridization based on recombinant inbred lines derived from near-isogenic lines. Using high-throughput genotyping technologies and rigorously excluding interference from teosinte-derived chromosomal segments elsewhere in the genome, we narrowed the qKRN5.04b interval to a 3.8 Mb region. Transcriptomic analysis of immature maize ears revealed that differentially expressed genes were predominantly enriched in cis-regulatory RNA synthesis pathways, while KEGG pathway analysis indicated significant enrichment in auxin signal transduction. Functional validation showed that Mu insertion mutants of ZmGrx5 reduced kernel row number by two, suggesting ZmGrx5 as a candidate gene underlying qKRN5.04b. Population genetic analysis further demonstrated that ZmGrx5 is the most strongly selected member within the CC-type glutaredoxin (ROXY) family. Collectively, this study provides preliminary insights into the molecular basis of qKRN5.04b and offers valuable clues for understanding ROXY gene domestication and advancing molecular breeding strategies in maize. Overall design: This study explores transcriptomic variation associated with inflorescence development and kernel row number (KRN) in maize using nearly isogenic recombinant inbred lines (NIRILs) derived from a cross between teosinte and maize. Specifically, two NIRILs, A12 and B46, differing in a defined introgressed segment on chromosome 5 from teosinte (Zea mays ssp. parviglumis), were selected for comparative analysis. Immature ears were collected at the V6–V9 leaf stages and manually dissected under a SZN71 Trinocular Macroscopic Co-visual Stereo Microscope (Soptop, Ningbo, China), selecting ear primordia measuring 1.5–2.0 mm staged between the inflorescence meristem (IM) and paired spikelet meristem (SPM). To ensure sample consistency, spikelets from at least 50 independently grown plants at the same developmental stage were pooled per biological replicate. Three biological replicates were collected for each genotype: M1, M2, and M4 from B46; T3, T5, and T6 from A12.The goal of this experiment was to identify genotype-specific transcriptional programs associated with early inflorescence patterning and KRN variation, thereby contributing to the understanding of domestication-related regulatory changes and informing future maize breeding strategies.",2025-08-22,Transcriptome or Gene expression,"Specialty Maize Institute, College of Agronomy, Shenyang Agricultural University",yes,GSE306206,SUB15570767
